Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testhook,Chrome 72.0.3626.121,,2019-03-17 22:25:45,2019-03-17 22:28:14,2m - 29.297s,PASSED
,,,,,,
Test Cases/TestListener,Chrome 72.0.3626.121,,2019-03-17 22:25:46,2019-03-17 22:26:44,57.682s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-17 22:25:47,2019-03-17 22:26:27,40.315s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-17 22:26:28,2019-03-17 22:26:31,3.438s,PASSED
"click(findTestObject(""Nopcommerce/Products""))",Chrome 72.0.3626.121,,2019-03-17 22:26:31,2019-03-17 22:26:37,5.718s,PASSED
"click(findTestObject(""Nopcommerce/Downloads""))",Chrome 72.0.3626.121,,2019-03-17 22:26:37,2019-03-17 22:26:41,4.173s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-17 22:26:41,2019-03-17 22:26:44,2.942s,PASSED
,,,,,,
Test Cases/TestListener1,Chrome 72.0.3626.121,,2019-03-17 22:26:44,2019-03-17 22:27:43,59.201s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-17 22:26:44,2019-03-17 22:27:04,19.730s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-17 22:27:04,2019-03-17 22:27:08,3.324s,PASSED
"click(findTestObject(""Object Repository/Nopcommerce/Registerlink""))",Chrome 72.0.3626.121,,2019-03-17 22:27:08,2019-03-17 22:27:15,7.013s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/FirstName""), ""Rameshbabu"")",Chrome 72.0.3626.121,,2019-03-17 22:27:15,2019-03-17 22:27:24,8.954s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/Lastname""), ""Gvs"")",Chrome 72.0.3626.121,,2019-03-17 22:27:24,2019-03-17 22:27:32,8.294s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/E-Mail""), ""ramgvs4@gmail.com"")",Chrome 72.0.3626.121,,2019-03-17 22:27:32,2019-03-17 22:27:40,8.399s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-17 22:27:40,2019-03-17 22:27:43,2.969s,PASSED
,,,,,,
Test Cases/TestListener,Chrome 72.0.3626.121,,2019-03-17 22:27:43,2019-03-17 22:28:14,30.698s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-17 22:27:43,2019-03-17 22:27:59,15.726s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-17 22:27:59,2019-03-17 22:28:02,3.165s,PASSED
"click(findTestObject(""Nopcommerce/Products""))",Chrome 72.0.3626.121,,2019-03-17 22:28:02,2019-03-17 22:28:07,4.496s,PASSED
"click(findTestObject(""Nopcommerce/Downloads""))",Chrome 72.0.3626.121,,2019-03-17 22:28:07,2019-03-17 22:28:11,4.257s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-17 22:28:11,2019-03-17 22:28:14,2.962s,PASSED
