Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testhook,Chrome 72.0.3626.109,,2019-02-21 23:34:49,2019-02-21 23:35:36,47.138s,FAILED
,,,,,,
Test Cases/Testlisteners,Chrome 72.0.3626.109,,2019-02-21 23:34:50,2019-02-21 23:35:36,45.858s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-21 23:34:50,2019-02-21 23:35:13,22.908s,PASSED
"openBrowser("""")",Chrome 72.0.3626.109,,2019-02-21 23:35:14,2019-02-21 23:35:14,0.004s,NOT_RUN
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-21 23:35:14,2019-02-21 23:35:17,3.278s,PASSED
"click(findTestObject(""TestListener/Loginlink""))",Chrome 72.0.3626.109,,2019-02-21 23:35:17,2019-02-21 23:35:25,8.173s,PASSED
delay(5),Chrome 72.0.3626.109,,2019-02-21 23:35:25,2019-02-21 23:35:30,5.066s,PASSED
"setText(findTestObject(""TestListener/Login""), ""ramgvs4@gmail.com"")",Chrome 72.0.3626.109,,2019-02-21 23:35:30,2019-02-21 23:35:33,2.599s,FAILED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.109,,2019-02-21 23:35:33,2019-02-21 23:35:36,3.125s,PASSED
