Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testhook,Chrome 72.0.3626.109,,2019-02-21 22:38:36,2019-02-21 22:40:10,1m - 34.491s,PASSED
,,,,,,
Test Cases/Testlisteners,Chrome 72.0.3626.109,,2019-02-21 22:38:37,2019-02-21 22:40:10,1m - 33.107s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-21 22:38:37,2019-02-21 22:39:16,38.850s,PASSED
"openBrowser("""")",Chrome 72.0.3626.109,,2019-02-21 22:39:16,2019-02-21 22:39:16,0.010s,NOT_RUN
delay(5),Chrome 72.0.3626.109,,2019-02-21 22:39:16,2019-02-21 22:39:21,5.073s,PASSED
"setText(findTestObject(""TestListener/Username""), ""ramgvs4@gmail.com"")",Chrome 72.0.3626.109,,2019-02-21 22:39:21,2019-02-21 22:39:32,10.337s,PASSED
delay(5),Chrome 72.0.3626.109,,2019-02-21 22:39:32,2019-02-21 22:39:37,5.004s,PASSED
"setText(findTestObject(""TestListener/Password""), ""Ramesh1213#"")",Chrome 72.0.3626.109,,2019-02-21 22:39:37,2019-02-21 22:39:45,8.347s,PASSED
delay(5),Chrome 72.0.3626.109,,2019-02-21 22:39:45,2019-02-21 22:39:50,5.003s,PASSED
"click(findTestObject(""TestListener/Login1""))",Chrome 72.0.3626.109,,2019-02-21 22:39:50,2019-02-21 22:40:07,16.956s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.109,,2019-02-21 22:40:07,2019-02-21 22:40:10,3.036s,PASSED
